	N2_mockRNAi_1	N2_mockRNAi_2	N2_rege1RNAi_1	N2_rege1RNAi_2	glp1_mockRNAi_1	glp1_mockRNAi_2	glp1_rege1RNAi_1	glp1_rege1RNAi_2
WBGene00007063	9.643893385	9.630037926	9.371885773	9.429654467	9.377795008	9.380264157	8.505685834	8.94661672
WBGene00007064	8.715722674	8.873477842	8.776844481	9.012820074	8.525158618	8.512753634	8.771651993	8.777022989
WBGene00044165	4.665950878	4.845812068	4.180494385	4.865441771	4.701569846	4.444823778	3.93115879	4.404202943
WBGene00007065	8.86364908	8.801125218	8.825987849	8.921378216	8.974661493	8.977340489	9.135575088	8.867444069
WBGene00003525	3.568459649	3.34835794	3.707765223	3	3.161636323	3	3.602338481	3.464679968
WBGene00007067	5.764531485	5.993551988	5.224342426	5.927799262	6.390173479	6.608208624	6.067638625	6.525272477
WBGene00007069	3.312049054	3	3	3.163720912	3.439001031	3	3	3.591374561
WBGene00005532	3	3.184667984	3.464629901	3.444155505	3.671542928	3.167385061	3	3.707835725
WBGene00004964	5.978540981	6.22185825	5.874348786	5.652507118	6.835739282	6.56387303	6.55485153	6.772628886
WBGene00007070	10.72163679	10.56876248	10.32034622	9.871432564	10.77961534	10.88170939	10.22733565	10.72036636
WBGene00000024	3	3	3	3	3	3	3	3
WBGene00004098	3	3	3	3	3	3	3	3
WBGene00007071	13.05275634	13.09646296	12.89008455	12.54896404	13.54252379	13.46847139	12.4782278	13.36176696
WBGene00000724	3.312049054	3.184667984	3.172045082	3	3.161636323	3.167385061	3.473663856	3.172065523
WBGene00007072	9.186604284	8.992743957	8.584625683	7.893421764	8.816733601	8.91986973	8.354011509	8.584803718
WBGene00007073	10.07827273	10.20213179	10.01317511	9.942222238	10.58579496	10.65304844	10.50860536	10.53671688
WBGene00006428	5.281999441	4.899603971	4.333339693	5.240420402	5.149941477	4.841346622	5.210148127	5.659960326
WBGene00004929	8.896184717	8.853173255	9.254733639	9.303633745	9.226119796	9.255726316	9.279656252	9.221016714
WBGene00014997	4.962599525	5.142048884	4.871742386	4.357407004	5.97749896	6.227346192	5.902496678	5.947391441
WBGene00043988	3	3	3	3	3	3	3	3
WBGene00043989	3	3	3	3	3	3	3	3
WBGene00043990	3	3	3	3	3	3	3	3
WBGene00007075	3	3	3	3	3	3	3	3
WBGene00007076	3	3	3	3	3	3	3	3
WBGene00007079	3	3	3	3	3	3	3	3
WBGene00007082	7.029746708	6.542421467	7.27537162	6.59166383	7.765570641	7.966393352	8.027184998	7.876476134
WBGene00007083	4.06116351	4.242177977	4.097536574	4.057659929	4.474216138	4.234643761	3.720470448	4.87187453
WBGene00007084	6.184158882	6.592275929	6.302437559	6.440174152	6.90588051	6.578803461	6.522690038	6.339175677
WBGene00007085	3.445943361	3.750843922	4.180494385	3.310741453	4.127997033	3.691628499	3.175740279	3.464679968
WBGene00001528	3	3	3	3	3	3.167385061	3	3
WBGene00005032	3	3	3.591313418	3	3.161636323	3	3.332378776	3
WBGene00005033	3.164444999	3	3	3	3.161636323	3.167385061	3	3
WBGene00005034	3	3	3	3	3	3	3	3
WBGene00005035	3	3	3	3	3.439001031	3.167385061	3	3.172065523
WBGene00007080	5.68550701	5.461090436	5.570347056	5.346493141	6.061848089	6.227346192	5.951640051	6.409655716
WBGene00007081	6.907394756	6.761614526	6.731778459	6.391441548	7.563403672	7.866504315	7.177900913	7.46949246
WBGene00005027	3	3.184667984	3	3.310741453	3.439001031	3	3	3.172065523
WBGene00003231	12.61841855	12.56877049	12.78940534	12.86619435	12.70117979	12.68220611	12.74057554	12.85320642
WBGene00005028	3	3	3	3	3	3	3	3.32577875
WBGene00005029	3.312049054	3.750843922	3.464629901	3.163720912	3.871753528	3.317352977	4.114963073	3.707835725
WBGene00005030	3	3	3	3	3	3.317352977	3.175740279	3
WBGene00014998	4.361517449	4.608019428	3.915774072	4.057659929	5.070728547	4.738725169	4.277974249	4.404202943
WBGene00000797	8.175278747	8.227290034	8.095226599	8.234678031	8.168872814	8.172368276	8.407829676	8.228090405
WBGene00014999	9.294837131	9.404433958	9.257124601	9.551103266	9.17732324	9.144718915	9.047899469	9.145583493
WBGene00015000	3.312049054	4.065188354	3.464629901	3.971869056	4.474216138	4.157180344	4.736297171	4.768390809
WBGene00044701	5.910671649	5.387698028	5.53925027	5.85777599	5.364412311	5.838156308	6.067638625	5.947391441
WBGene00003010	10.66954472	10.84551121	10.85651504	10.80063205	11.25479003	11.16626427	11.27232568	11.10919392
WBGene00007087	12.53494295	12.61547923	12.50678328	12.42556347	12.54829598	12.46685817	11.52152017	12.41519263
