	N2_mockRNAi_1	N2_mockRNAi_2	N2_rege1RNAi_1	N2_rege1RNAi_2	glp1_mockRNAi_1	glp1_mockRNAi_2	glp1_rege1RNAi_1	glp1_rege1RNAi_2
WBGene00007063	4.88254416	4.574024673	4.442976613	4.80257885	5.075272412	4.557197317	4.203955806	4.751712826
WBGene00007064	7.868691511	7.416501	7.976376166	8.194712476	7.48724614	7.596479932	7.879924629	8.239414516
WBGene00044165	3.922768025	3.661358331	3.297690316	3.478102426	3	3.448137644	3.671377669	3.395805922
WBGene00007065	3	3	3.156509871	3	3	3	3.30688891	3
WBGene00003525	3	3	3.297690316	3.177560818	3.402093432	3	3.161589261	3
WBGene00007067	3.200744779	3.301737941	3.297690316	3.177560818	3.280104283	3.887511217	3.30688891	3.395805922
WBGene00007069	3	3	3	3	3	3	3.438884535	3
WBGene00005532	3	3	3	3	3	3	3	3
WBGene00004964	3	3	3	3	3	3	3	3
WBGene00007070	3	3.15874315	3	3.335643599	3.280104283	3.448137644	3.30688891	3.21143436
WBGene00000024	3	3	3	3	3	3	3	3
WBGene00004098	3	3	3	3	3	3	3	3
WBGene00007071	5.492631795	4.394184202	4.247957842	3.938692934	4.440559578	5.012801033	3.962103937	4.999616359
WBGene00000724	3	3	3	3	3	3	3	3
WBGene00007072	3	3	3.156509871	3	3	3	3	3
WBGene00007073	3.376938259	3.301737941	3.426278156	3.177560818	3.146839394	3.887511217	3.438884535	3.961277016
WBGene00006428	4.032129483	3.301737941	3.54433698	3.335643599	4.258722274	3.979226368	3.559809383	3.839309669
WBGene00004929	7.584414962	7.121040477	7.372189397	7.722914274	7.807335053	8.134249907	7.496359257	7.908924903
WBGene00014997	3	3	3	3.177560818	3.146839394	3	3.774933909	3.21143436
WBGene00043988	3	3	3	3	3	3	3	3
WBGene00043989	3	3	3	3	3	3	3	3
WBGene00043990	3	3	3	3	3	3	3	3
WBGene00007075	3	3	3	3	3	3	3	3
WBGene00007076	3	3	3	3	3	3	3	3
WBGene00007079	3	3	3	3	3	3	3	3
WBGene00007082	3	3	3.156509871	3	3.146839394	3	3.438884535	3.559263004
WBGene00007083	3	3	3	3	3	3	3	3
WBGene00007084	4.032129483	3	3	3.478102426	3.280104283	3.571146702	3.161589261	3.21143436
WBGene00007085	3	3	3	3	3	3	3	3
WBGene00001528	3	3	3	3	3	3	3	3
WBGene00005032	3	3	3	3	3	3	3	3
WBGene00005033	3	3	3	3	3	3	3	3
WBGene00005034	3	3	3	3	3	3	3	3
WBGene00005035	3	3	3	3	3	3	3	3
WBGene00007080	3	3	3	3	3	3	3	3
WBGene00007081	3	3	3	3	3	3	3.161589261	3
WBGene00005027	3	3	3	3	3	3	3	3
WBGene00003231	3	3	3	3	3.146839394	3	3.161589261	3
WBGene00005028	3	3	3	3	3	3	3	3
WBGene00005029	3	3	3	3	3	3	3	3.21143436
WBGene00005030	3	3	3	3	3	3	3	3
WBGene00014998	3.376938259	3	3	3	3.146839394	3	3.559809383	3
WBGene00000797	3	3	3.426278156	3.177560818	3.716198971	3.887511217	3.871552142	3.395805922
WBGene00014999	3.376938259	3.301737941	3.156509871	3.177560818	3	3.571146702	3	3.961277016
WBGene00015000	3.376938259	3	3	3.177560818	3	3.16533442	3.438884535	3.21143436
WBGene00044701	3.533936598	3.301737941	3.297690316	3	3.807346091	3.887511217	3.161589261	4.073732044
WBGene00003010	6.608438297	5.557090579	6.678354993	6.504193203	6.382451008	6.96080078	6.061457188	6.896253535
WBGene00007087	4.317833773	3.763738925	4.022394409	3.478102426	4.050615415	3.887511217	3.438884535	4.366469162
WBGene00007088	3.200744779	3.15874315	3.297690316	3.177560818	3.280104283	3	3	3
WBGene00007089	4.228740898	4.033389744	4.768221331	4.287278042	4.747219462	4.777585913	4.345249847	4.682457633
WBGene00007090	3.376938259	3.431828966	3.297690316	3.177560818	3.514566991	3.571146702	3	3.559263004
WBGene00007091	5.148512723	4.831436438	4.950351706	4.689966488	5.372537542	6.007681311	5.26080719	5.901376519
WBGene00007092	3.804431592	3.431828966	4.101565999	3.335643599	3.716198971	3.448137644	3.671377669	3.706070801
WBGene00007093	3.200744779	3.15874315	3.156509871	3	3	3.313654502	3.30688891	3.395805922
WBGene00000138	3	3.301737941	4.022394409	3.177560818	3.618902645	3.979226368	3.30688891	4.073732044
WBGene00007094	8.409494156	7.408621595	7.803643513	8.11517151	7.988664731	8.207193784	7.626656522	8.58604264
WBGene00000722	3	3	3	3	3	3	3	3
WBGene00007100	3.376938259	3.431828966	3.754908845	3.478102426	3.280104283	3.16533442	3.559809383	3.961277016
WBGene00007101	3	3	3.156509871	3	3	3.16533442	3	3.395805922
WBGene00001646	3	3	3	3	3	3	3	3
WBGene00007102	3	3	3	3	3	3	3.30688891	3
WBGene00007103	5.567209548	4.574024673	4.667738829	5.447045969	5.643838882	5.60878367	4.942775959	5.670504517
WBGene00007104	3	3	3	3	3	3	3.161589261	3
WBGene00000723	3	3	3	3	3	3	3	3
WBGene00007096	3.376938259	3	3	3	3	3	3	3
WBGene00007097	3	3	3	3	3	3	3	3
WBGene00001533	3	3	3.156509871	3.177560818	3.146839394	3.16533442	3	3
WBGene00000491	4.133781893	3.948984728	3.65346132	4.50262681	4.258722274	4.923262511	4.473931904	4.452187592
WBGene00007099	3	3	3	3	3	3	3	3
WBGene00006932	5.196291131	4.516533227	4.614745124	3.938692934	4.258722274	4.968726293	4.127756154	5.351573998
WBGene00000814	6.155822116	5.089768512	5.324972513	5.481287134	5.56766738	5.637220221	5.187627876	5.634286372
WBGene00015001	3.533936598	3.431828966	3	3	3.146839394	3.684486619	3.438884535	3.395805922
WBGene00015002	3.922768025	3.551153539	3.65346132	3.335643599	3.402093432	3.448137644	3.161589261	3.961277016
WBGene00015003	3	3	3	3	3	3	3	3
WBGene00000403	6.517326844	5.666859571	6.514433111	6.895577272	6.847261933	6.794016087	6.748939271	7.013687452
WBGene00015004	3	3	3	3	3	3	3	3
WBGene00015005	4.228740898	3.431828966	4.315935651	3.335643599	3.893075286	3.684486619	3.559809383	3.395805922
WBGene00044394	3	3	3	3	3	3	3	3
WBGene00001919	3	3	3	3	3	3	3	3
WBGene00007110	3.200744779	3.301737941	3.297690316	3.607749765	3	3	3.671377669	3.21143436
WBGene00007111	3.533936598	3.551153539	3.156509871	3.478102426	3	3.448137644	3.438884535	3
WBGene00007112	4.939805331	4.260489666	6.209500088	5.579388877	4.747219462	4.725564028	6.101850242	6.472706202
WBGene00001019	6.293988297	5.308792716	6.154864613	5.547423804	6.209434988	5.963447459	5.428996868	6.251460536
WBGene00007113	3	3	3.297690316	3	3.146839394	3	3	3.21143436
WBGene00007114	4.032129483	3.431828966	3.938624509	3.607749765	3.893075286	4.065457866	3.671377669	4.533097392
WBGene00044290	4.556203609	5.342269438	4.992505548	5.004434092	4.747219462	5.358532394	5.187627876	4.533097392
WBGene00007105	3.200744779	3.431828966	3.849689043	3.177560818	3.514566991	3.313654502	3.671377669	3.559263004
WBGene00001020	3.200744779	3.551153539	3.426278156	3.177560818	3.514566991	3.16533442	3.438884535	3.706070801
WBGene00007106	3.200744779	3	3.156509871	3	3	3	3.30688891	3
WBGene00007107	3	3.301737941	3	3	3.146839394	3.16533442	3	3
WBGene00007108	3.804431592	3.551153539	3.754908845	3.836587268	3.514566991	3.571146702	3.871552142	3
WBGene00007109	3	3	3	3	3	3.16533442	3	3
WBGene00001921	3	3	3	3	3	3	3	3
WBGene00001922	3	3	3	3	3	3	3	3
WBGene00001920	3	3	3	3	3	3	3	3
WBGene00015006	3	3	3	3	3	3	3	3
WBGene00015007	5.975888703	5.49890646	5.1497877	4.80257885	5.934094155	5.579775325	5.460403719	5.519834449
WBGene00015008	3.200744779	3.431828966	3.156509871	3	3.402093432	3.571146702	3.30688891	3.706070801
WBGene00004415	3.200744779	3.15874315	3	3	3	3.16533442	3.161589261	3
WBGene00015009	3.376938259	3.15874315	3.754908845	3.335643599	3.514566991	3.571146702	3.871552142	3
WBGene00015010	3.376938259	3	3.426278156	3	3.893075286	3.887511217	3	3.21143436
