Gene stable ID	Gene name	Chromosome/scaffold name
WBGene00000001	aap-1	I
WBGene00000002	aat-1	IV
WBGene00000003	aat-2	V
WBGene00000004	aat-3	X
WBGene00000005	aat-4	IV
WBGene00000006	aat-5	I
WBGene00000007	aat-6	V
WBGene00000008	aat-7	II
WBGene00000009	aat-8	IV
WBGene00000010	aat-9	I
WBGene00000012	abf-1	I
WBGene00000013	abf-2	I
WBGene00000014	abf-3	V
WBGene00000015	abf-4	V
WBGene00000016	abf-5	X
WBGene00000017	abf-6	X
WBGene00000018	abl-1	X
WBGene00000019	abt-1	IV
WBGene00000020	abt-2	I
WBGene00000021	abt-3	IV
WBGene00000022	abt-4	V
WBGene00000023	abt-5	I
WBGene00000024	abu-1	V
WBGene00000025	abu-2	X
WBGene00000026	abu-3	X
WBGene00000027	abu-4	V
WBGene00000028	abu-5	IV
WBGene00000029	abu-6	V
WBGene00000030	abu-7	V
WBGene00000031	abu-8	V
WBGene00000032	abu-9	X
WBGene00000033	abu-10	X
WBGene00000034	abu-11	II
WBGene00000035	ace-1	X
WBGene00000036	ace-2	I
WBGene00000037	ace-3	II
WBGene00000038	ace-4	II
WBGene00000039	acn-1	X
WBGene00000040	aco-1	X
WBGene00000041	aco-2	III
WBGene00000042	acr-2	X
WBGene00000043	acr-3	X
WBGene00000044	acr-5	III
WBGene00000045	acr-6	I
WBGene00000046	acr-7	II
WBGene00000047	acr-8	X
WBGene00000048	acr-9	X
WBGene00000049	acr-10	X
WBGene00000050	acr-11	I
WBGene00000051	acr-12	X
WBGene00000053	acr-14	II
WBGene00000054	acr-15	V
WBGene00000055	acr-16	V
WBGene00000056	acr-17	V
WBGene00000057	acr-18	V
WBGene00000058	acr-19	I
WBGene00000059	acr-20	II
WBGene00000060	acr-21	III
WBGene00000061	lgc-11	X
WBGene00000062	acr-23	V
WBGene00000063	act-1	V
WBGene00000064	act-2	V
WBGene00000065	act-3	V
WBGene00000066	act-4	X
WBGene00000067	act-5	III
WBGene00000068	acy-1	III
WBGene00000069	acy-2	V
WBGene00000070	acy-3	III
WBGene00000071	acy-4	V
WBGene00000072	add-1	X
WBGene00000073	add-2	V
WBGene00000074	adm-2	X
WBGene00000075	adm-4	X
WBGene00000079	adr-1	I
WBGene00000080	adr-2	III
WBGene00000081	ads-1	III
WBGene00000082	adt-1	X
WBGene00000083	adt-2	X
WBGene00000084	aex-1	I
WBGene00000085	aex-2	X
WBGene00000086	aex-3	X
WBGene00000088	aex-5	I
WBGene00000089	aex-6	I
WBGene00000090	age-1	II
WBGene00000092	ags-3	X
WBGene00000093	agt-1	IV
WBGene00000094	agt-2	II
WBGene00000095	aha-1	I
WBGene00000096	ahr-1	I
WBGene00000097	aip-1	V
WBGene00000098	air-1	V
WBGene00000099	air-2	I
WBGene00000100	ajm-1	X
WBGene00000101	aka-1	II
WBGene00000102	akt-1	V
WBGene00000103	akt-2	X
WBGene00000105	alg-1	X
WBGene00000106	alg-2	II
WBGene00000107	alh-1	III
WBGene00000108	alh-2	V
WBGene00000109	alh-3	IV
WBGene00000110	alh-4	V
WBGene00000111	alh-5	V
WBGene00000112	alh-6	II
WBGene00000113	alh-7	II
WBGene00000114	alh-8	II
WBGene00000115	alh-9	III
WBGene00000116	alh-10	X
WBGene00000117	alh-11	III
WBGene00000118	alh-12	III
WBGene00000120	aly-1	IV
WBGene00000121	aly-2	IV
WBGene00000122	aly-3	IV
WBGene00000123	ama-1	IV
WBGene00000133	amt-1	X
WBGene00000134	amt-2	IV
WBGene00000135	amt-3	II
WBGene00000136	amt-4	X
WBGene00000137	amx-1	III
WBGene00000138	amx-2	I
WBGene00000139	amx-3	V
WBGene00000140	anc-1	I
WBGene00000142	aos-1	V
WBGene00000143	apc-2	III
WBGene00000144	apc-10	V
WBGene00000145	apc-11	III
WBGene00000146	ape-1	V
WBGene00000147	aph-1	I
WBGene00000148	aph-2	I
WBGene00000149	apl-1	X
WBGene00000150	apm-1	I
WBGene00000151	apn-1	II
WBGene00000155	app-1	I
WBGene00000156	apr-1	I
WBGene00000157	aps-2	X
WBGene00000158	apg-1	I
WBGene00000159	aps-1	V
WBGene00000160	apb-1	III
WBGene00000161	apa-2	X
WBGene00000162	apd-3	II
WBGene00000163	apb-3	I
WBGene00000164	apm-3	X
WBGene00000165	aps-3	I
WBGene00000166	apt-9	X
WBGene00000168	apx-1	V
WBGene00000169	aqp-1	II
WBGene00000170	aqp-2	II
WBGene00000171	aqp-3	IV
WBGene00000172	aqp-4	V
WBGene00000173	aqp-5	V
WBGene00000174	aqp-6	V
WBGene00000175	aqp-7	X
WBGene00000176	aqp-8	X
WBGene00000177	aqp-9	I
WBGene00000178	aqp-10	II
WBGene00000179	aqp-11	III
WBGene00000180	arc-1	II
WBGene00000181	ard-1	IV
WBGene00000182	arf-1	III
WBGene00000183	arf-5	IV
WBGene00000184	arf-6	IV
WBGene00000185	arg-1	X
WBGene00000186	ark-1	IV
WBGene00000187	arl-1	II
WBGene00000188	arl-3	II
WBGene00000189	arl-5	III
WBGene00000190	warf-1	IV
WBGene00000191	arl-7	X
WBGene00000192	arl-8	IV
WBGene00000193	arl-6	III
WBGene00000195	arr-1	X
WBGene00000196	aars-1	II
WBGene00000197	aars-2	I
WBGene00000198	art-1	II
WBGene00000199	arx-1	I
WBGene00000200	arx-2	V
WBGene00000201	arx-3	III
WBGene00000202	exos-4.2	III
WBGene00000203	arx-5	III
WBGene00000204	arx-6	III
WBGene00000205	arx-7	I
WBGene00000206	asb-1	III
WBGene00000207	asb-2	X
WBGene00000208	trip-4	II
WBGene00000209	asg-1	I
WBGene00000210	asg-2	X
WBGene00000211	asm-1	II
WBGene00000212	asm-2	X
WBGene00000213	asm-3	IV
WBGene00000214	asp-1	V
WBGene00000215	asp-2	V
WBGene00000216	asp-3	X
WBGene00000217	asp-4	X
WBGene00000218	asp-5	V
WBGene00000219	asp-6	V
WBGene00000220	atf-2	II
WBGene00000221	atf-4	X
WBGene00000222	atf-6	X
WBGene00000223	atf-7	III
WBGene00000224	atgp-1	IV
WBGene00000225	atgp-2	II
WBGene00000226	atl-1	V
WBGene00000227	atm-1	I
WBGene00000228	atn-1	V
WBGene00000229	atp-2	III
WBGene00000230	atp-3	I
WBGene00000231	atx-2	III
WBGene00000232	avr-14	I
WBGene00000233	avr-15	V
WBGene00000235	baf-1	III
WBGene00000236	bag-1	I
WBGene00000237	bam-2	I
WBGene00000238	bar-1	X
WBGene00000239	bas-1	III
WBGene00000240	pah-1	II
WBGene00000241	bbs-1	I
WBGene00000242	bbs-2	IV
WBGene00000244	bbs-8	V
WBGene00000245	bca-1	X
WBGene00000246	bcc-1	IV
WBGene00000247	bec-1	IV
WBGene00000248	ben-1	III
WBGene00000249	bir-1	V
WBGene00000250	bir-2	V
WBGene00000251	bli-1	II
WBGene00000252	bli-2	II
